source,target,context
# Fleet Module - Arabic Translations
# Madaar Vehicle
"Vehicle Number","رقم المركبة",DocType: Madaar Vehicle
"Vehicle Code","كود المركبة",DocType: Madaar Vehicle
"Name (Arabic)","الاسم بالعربي",DocType: Madaar Vehicle
"Name (English)","الاسم بالإنجليزي",DocType: Madaar Vehicle
"Plate Number","رقم اللوحة",DocType: Madaar Vehicle
"Internal Number","الرقم الداخلي",DocType: Madaar Vehicle
"Ownership Type","نوع الملكية",DocType: Madaar Vehicle
"Owned","مملوك",DocType: Madaar Vehicle
"Finance Lease","تأجير تمويلي",DocType: Madaar Vehicle
"Rented","مؤجر",DocType: Madaar Vehicle
"Contractor","مقاول",DocType: Madaar Vehicle
"Brand / Make","الماركة / الصانع",DocType: Madaar Vehicle
"Chassis Number","رقم الشاسيه",DocType: Madaar Vehicle
"Engine Number","رقم المحرك",DocType: Madaar Vehicle
"Seating Capacity","سعة المقاعد",DocType: Madaar Vehicle
"Load Capacity (ton)","طاقة الحمولة (طن)",DocType: Madaar Vehicle
"Assigned Driver","السائق المخصص",DocType: Madaar Vehicle
"Depot / Garage","الموقف / الكراج",DocType: Madaar Vehicle
"Default Route","المسار الافتراضي",DocType: Madaar Vehicle
"GPS Number","رقم GPS",DocType: Madaar Vehicle
"SIM Number","رقم SIM",DocType: Madaar Vehicle
"Purchase Date","تاريخ الشراء",DocType: Madaar Vehicle
"Purchase Value","قيمة الشراء",DocType: Madaar Vehicle
"Insurance Value","قيمة التأمين",DocType: Madaar Vehicle
"Residual Value","القيمة المتبقية",DocType: Madaar Vehicle
"In Maintenance","في الصيانة",DocType: Madaar Vehicle
"Out of Service","خارج الخدمة",DocType: Madaar Vehicle
"Reserved","محجوز",DocType: Madaar Vehicle
"Suspended","موقوف",DocType: Madaar Vehicle
"Madaar Vehicle","مركبة مدار",
# Madaar Driver Profile
"Driver Code","كود السائق",DocType: Madaar Driver Profile
"Driver Name","اسم السائق",DocType: Madaar Driver Profile
"National ID","رقم الهوية الوطنية",DocType: Madaar Driver Profile
"Blood Type","فصيلة الدم",DocType: Madaar Driver Profile
"Mobile","الجوال",DocType: Madaar Driver Profile
"Emergency Contact Name","اسم جهة اتصال الطوارئ",DocType: Madaar Driver Profile
"Emergency Contact Phone","هاتف جهة اتصال الطوارئ",DocType: Madaar Driver Profile
"License Type","نوع الرخصة",DocType: Madaar Driver Profile
"Hire Date","تاريخ التعيين",DocType: Madaar Driver Profile
"Employment Type","نوع العقد",DocType: Madaar Driver Profile
"Full Time","دوام كامل",DocType: Madaar Driver Profile
