source,target,context
# Construction Module - Arabic Translations
# Madaar Construction Project
"Project Code","كود المشروع",DocType: Madaar Construction Project
"Project Name (Arabic)","اسم المشروع بالعربي",DocType: Madaar Construction Project
"Project Name (English)","اسم المشروع بالإنجليزي",DocType: Madaar Construction Project
"Project Type","نوع المشروع",DocType: Madaar Construction Project
"Building","مباني",DocType: Madaar Construction Project
"Roads","طرق",DocType: Madaar Construction Project
"Infrastructure","بنية تحتية",DocType: Madaar Construction Project
"Electrical","كهرباء",DocType: Madaar Construction Project
"Mechanical","ميكانيكا",DocType: Madaar Construction Project
"Finishing","تشطيبات",DocType: Madaar Construction Project
"Client / Customer","العميل / المقاول",DocType: Madaar Construction Project
"Project Manager","مدير المشروع",DocType: Madaar Construction Project
"Contract Value","قيمة العقد",DocType: Madaar Construction Project
"Estimated Budget","الميزانية التقديرية",DocType: Madaar Construction Project
"Retention %","نسبة الاحتجاز %",DocType: Madaar Construction Project
"Advance Payment","الدفعة المقدمة",DocType: Madaar Construction Project
"Cost Center","مركز التكلفة",DocType: Madaar Construction Project
"Planning","تخطيط",DocType: Madaar Construction Project
"On Hold","متوقف مؤقتاً",DocType: Madaar Construction Project
"Madaar Construction Project","مشروع إنشاء مدار",
# Madaar Construction Contract
"Contract Number","رقم العقد",DocType: Madaar Construction Contract
"Contract Date","تاريخ العقد",DocType: Madaar Construction Contract
"Contract Type","نوع العقد",DocType: Madaar Construction Contract
"Fixed Price","سعر ثابت",DocType: Madaar Construction Contract
"Unit Rate","سعر الوحدة",DocType: Madaar Construction Contract
"Cost Plus","التكلفة زائد",DocType: Madaar Construction Contract
"Design & Build","تصميم وتنفيذ",DocType: Madaar Construction Contract
"Advance %","نسبة السلفة %",DocType: Madaar Construction Contract
"Scope of Work","نطاق العمل",DocType: Madaar Construction Contract
"Terminated","منتهي",DocType: Madaar Construction Contract
"Madaar Construction Contract","عقد إنشاء مدار",
# Madaar Construction Equipment
"Equipment Name (Arabic)","اسم المعدة بالعربي",DocType: Madaar Construction Equipment
"Equipment Name (English)","اسم المعدة بالإنجليزي",DocType: Madaar Construction Equipment
"Equipment Code","كود المعدة",DocType: Madaar Construction Equipment
"Equipment Type","نوع المعدة",DocType: Madaar Construction Equipment
"Current Project","المشروع الحالي",DocType: Madaar Construction Equipment
"Operator","المشغّل",DocType: Madaar Construction Equipment
"Hourly Cost","التكلفة بالساعة",DocType: Madaar Construction Equipment
"Daily Cost","التكلفة اليومية",DocType: Madaar Construction Equipment
"Monthly Cost","التكلفة الشهرية",DocType: Madaar Construction Equipment
"Assigned","مُعيَّن",DocType: Madaar Construction Equipment
"Retired","مسحوب من الخدمة",DocType: Madaar Construction Equipment
"Madaar Construction Equipment","معدة إنشاء مدار",
